Front,Back
He proudly asked the champion for an [[autograph]].,"사인
/ˈɔːtəˌɡræf/, noun
그는 자랑스럽게 챔피언에게 사인을 부탁했다.
signature, signed name, inscription, signature mark
-"
A stain of [[pomegranate]] darkened the cloth.,"석류
/ˈpɑːməˌɡrænɪt/, noun
석류 얼룩이 천을 더 어둡게 물들였다.
fruit, red fruit, seed fruit, pome
-"
Their words were finally in [[accord]].,"일치, 합의
/əˈkɔːrd/, noun
그들의 말은 마침내 서로 일치했다.
agreement, harmony, concurrence, unity
accord: 일치하다; 부여하다"
The stone looked as if it had stood there for an [[aeon]].,"영겁, 아주 오랜 시간
/ˈiːən/, noun
그 돌은 마치 영겁의 세월 동안 그 자리에 서 있었던 듯 보였다.
eon, age, eternity, ages
-"
The crown was set with a pale [[gemstone]].,"보석
/ˈdʒɛmˌstoʊn/, noun
그 왕관에는 옅은 색의 보석이 박혀 있었다.
gem, jewel, precious stone, crystal
-"
No honest warrior would trust a [[knave]] like that.,"악당, 불한당
/neɪv/, noun
정직한 전사라면 그런 악당을 믿지 않을 것이다.
rogue, scoundrel, rascal, villain
(카드의) 잭"
You cannot simply [[barge]] into the throne room unannounced.,"불쑥 들이닥치다
/bɑːrdʒ/, verb
예고도 없이 옥좌의 방으로 불쑥 들어와서는 안 된다.
burst in, storm in, blunder in, intrude
barge: 큰 평저선"
A low [[rumbling]] shook the stone beneath our feet.,"우르릉거림, 낮은 진동음
/ˈrʌmblɪŋ/, noun
낮게 울리는 진동음이 우리 발밑의 돌을 흔들었다.
rumble, growl, thunder, vibration
rumbling: 우르릉거리는"
The heat seemed to [[sear]] the very air.,"태우다, 그슬리다
/sɪr/, verb
그 열기는 공기 자체를 태울 듯했다.
scorch, burn, char, singe
마음에 깊이 새기다"
Fresh souls continued to [[overflow]] from the gates.,"넘쳐흐르다
/ˌoʊvərˈfloʊ/, verb
새로운 영혼들이 문에서 계속 넘쳐 나왔다.
spill over, brim over, flood, run over
overflow: 넘침"
The [[venerable]] judge spoke with measured calm.,"존경받는, 유서 깊은
/ˈvɛnərəbəl/, adjective
그 존경받는 재판관은 침착하게 말을 이었다.
respected, esteemed, revered, august
낡은"
The [[huntress]] moved soundlessly through the trees.,"여사냥꾼
/ˈhʌntrəs/, noun
그 여사냥꾼은 나무 사이를 소리 없이 움직였다.
female hunter, archer, tracker, pursuer
-"
She spoke with quiet [[affection]] despite her anger.,"애정
/əˈfɛkʃən/, noun
그녀는 화가 나 있었지만 조용한 애정을 담아 말했다.
fondness, love, warmth, tenderness
-"
Finishing the climb felt like a true [[accomplishment]].,"성취, 업적
/əˈkɑːmplɪʃmənt/, noun
그 오르막을 끝낸 일은 진정한 성취처럼 느껴졌다.
achievement, attainment, feat, success
기량, 재주"
